City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vestmanna,FO,62.1564,-7.1664,36.52,81,75,27.63,light rain
80,Russell,US,32.3502,-85.1999,72.68,78,40,8.05,scattered clouds
81,Aksu,CN,41.1231,80.2644,-0.92,91,5,3.69,clear sky
82,Otane,NZ,-39.8833,176.6333,66.0,91,100,4.25,overcast clouds
83,La Cruz,MX,23.9167,-106.9,73.58,58,31,13.56,scattered clouds
84,Bartica,GY,6.4,-58.6167,79.12,94,17,3.83,few clouds
85,Hualmay,PE,-11.0964,-77.6139,73.56,71,64,10.83,broken clouds
86,Bredasdorp,ZA,-34.5322,20.0403,70.97,78,49,6.04,scattered clouds
87,Ribeira Grande,PT,38.5167,-28.7,54.0,76,20,5.99,few clouds
88,Atuona,PF,-9.8,-139.0333,77.99,78,28,17.47,light rain
89,Iqaluit,CA,63.7506,-68.5145,-18.31,75,20,2.3,few clouds
90,Turayf,SA,31.6725,38.6637,44.85,76,0,0.0,clear sky
91,Bayangol,RU,50.6977,103.4656,-28.97,97,10,3.49,clear sky
92,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,78,20,16.11,few clouds
93,Ahipara,NZ,-35.1667,173.1667,70.68,66,4,7.94,clear sky
94,Kosh-Agach,RU,50.0,88.6667,-11.56,98,100,2.28,overcast clouds
95,Batemans Bay,AU,-35.7167,150.1833,58.37,88,100,10.07,overcast clouds
96,Saint George,US,37.1041,-113.5841,47.95,47,0,6.91,clear sky
97,Prince Rupert,CA,54.3161,-130.3201,40.69,87,75,24.16,light rain
98,Raga,SS,8.4596,25.678,71.91,24,15,2.35,few clouds
99,Quilmana,PE,-12.95,-76.3833,73.47,72,81,5.39,broken clouds
100,Hinton,CA,53.4001,-117.5857,31.69,87,84,5.88,broken clouds
101,Honningsvag,NO,70.9821,25.9704,28.15,74,100,27.63,overcast clouds
102,Marawi,PH,7.9986,124.2928,66.81,97,100,1.43,overcast clouds
103,Honiara,SB,-9.4333,159.95,81.03,83,96,5.7,overcast clouds
104,Port Alfred,ZA,-33.5906,26.891,80.19,74,100,5.99,overcast clouds
105,Yerbogachen,RU,61.2767,108.0108,-37.46,97,100,3.44,overcast clouds
106,Yellowknife,CA,62.456,-114.3525,19.92,93,100,11.5,mist
107,Mahajanga,MG,-15.7167,46.3167,82.42,57,20,4.61,few clouds
108,Saskylakh,RU,71.9167,114.0833,-35.54,100,61,3.91,broken clouds
109,Hithadhoo,MV,-0.6,73.0833,81.23,74,14,6.89,few clouds
110,Kyren,RU,51.6828,102.1408,-17.39,88,75,1.59,broken clouds
111,Norman Wells,CA,65.282,-126.8329,-3.96,84,100,5.75,overcast clouds
112,Abu Samrah,SY,35.3029,37.1841,49.15,83,1,5.23,clear sky
113,Magdalena,PH,14.1999,121.429,77.36,90,95,10.4,overcast clouds
114,Batagay,RU,67.6333,134.6333,-50.85,100,98,0.78,overcast clouds
115,Huntington,US,38.4193,-82.4452,54.5,63,75,0.0,broken clouds
