,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Talara,PE,83.16,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
251,Saint-Philippe,RE,76.59,moderate rain,-21.3585,55.7679,Le Baril
263,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
265,Mandera,KE,81.59,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
269,Sao Jose Da Coroa Grande,BR,78.1,scattered clouds,-8.8978,-35.1478,Hotel do Sol
270,Fartura,BR,74.34,broken clouds,-23.3883,-49.51,Rocha Palace Hotel
282,Key West,US,78.8,few clouds,24.5557,-81.7826,Harborside Hotel & Marina
287,Tutoia,BR,79.57,moderate rain,-2.7619,-42.2744,Pousada San Vicente
288,Mahanoro,MG,75.56,light rain,-19.9,48.8,Vanilla Bungalow
290,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
291,Pochutla,MX,83.82,scattered clouds,15.7432,-96.4661,Posada San Jose
293,Barrancabermeja,CO,89.92,few clouds,7.0653,-73.8547,Hotel Salomé
295,Mecca,SA,72.3,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
297,Gizo,SB,83.43,light rain,-8.103,156.8419,Gizo Hotel
300,Rafaela,AR,88.0,broken clouds,-31.2503,-61.4867,Toscano
302,Tomatlan,MX,79.48,broken clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
304,Sao Filipe,CV,75.29,clear sky,14.8961,-24.4956,Bela Vista
305,Columbia,US,67.68,clear sky,34.0007,-81.0348,"Cambria Hotel Columbia Downtown, The Vista"
306,Cotonou,BJ,80.19,scattered clouds,6.3654,2.4183,BENIN ROYAL HOTEL
312,Balingasay,PH,77.99,few clouds,16.3573,119.8564,Ramos Beach Resort
314,Inhambane,MZ,78.62,overcast clouds,-23.865,35.3833,Hotel de Inhambane
318,Saint-Pierre,RE,84.56,light rain,-21.3393,55.4781,Tropic Hotel
323,Makakilo City,US,81.61,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
324,Valparaiso,CL,69.44,clear sky,-33.0393,-71.6273,Ibis Hotel
325,Queenstown,ZA,71.37,broken clouds,-31.8976,26.8753,Queens Hotel
